id,year,index,magnitude,duration,rate,postMagnitude,postDuration,postRate
000,1984,498.0,NaN,NaN,NaN,22.0,10.0,2.2
000,1994,520.0,22.0,10.0,2.2,-137.0,1.0,-137.0
000,1995,383.0,-137.0,1.0,-137.0,212.0,1.0,212.0
000,1996,595.0,212.0,1.0,212.0,-96.0,18.0,-5.333333333333333
000,2014,499.0,-96.0,18.0,-5.333333333333333,-450.0,1.0,-450.0
000,2015,49.0,-450.0,1.0,-450.0,226.0,4.0,56.5
000,2019,275.0,226.0,4.0,56.5,NaN,NaN,NaN
001,1984,621.0,NaN,NaN,NaN,-40.0,31.0,-1.2903225806451613
001,2015,581.0,-40.0,31.0,-1.2903225806451613,-702.0,1.0,-702.0
001,2016,-121.0,-702.0,1.0,-702.0,339.0,2.0,169.5
001,2018,218.0,339.0,2.0,169.5,-74.0,1.0,-74.0
001,2019,144.0,-74.0,1.0,-74.0,NaN,NaN,NaN
002,1984,121.0,NaN,NaN,NaN,181.0,8.0,22.625
002,1992,302.0,181.0,8.0,22.625,-159.0,1.0,-159.0
002,1993,143.0,-159.0,1.0,-159.0,226.0,4.0,56.5
002,1997,369.0,226.0,4.0,56.5,-588.0,1.0,-588.0
002,1998,-219.0,-588.0,1.0,-588.0,426.0,2.0,213.0
002,2000,207.0,426.0,2.0,213.0,298.0,19.0,15.68421052631579
002,2019,505.0,298.0,19.0,15.68421052631579,NaN,NaN,NaN
003,1984,623.0,NaN,NaN,NaN,30.0,21.0,1.4285714285714286
003,2005,653.0,30.0,21.0,1.4285714285714286,-244.0,1.0,-244.0
003,2006,409.0,-244.0,1.0,-244.0,140.0,13.0,10.76923076923077
003,2019,549.0,140.0,13.0,10.76923076923077,NaN,NaN,NaN
004,1984,56.0,NaN,NaN,NaN,169.0,13.0,13.0
004,1997,225.0,169.0,13.0,13.0,-208.0,2.0,-104.0
004,1999,17.0,-208.0,2.0,-104.0,147.0,10.0,14.7
004,2009,164.0,147.0,10.0,14.7,-269.0,1.0,-269.0
004,2010,-105.0,-269.0,1.0,-269.0,22.0,9.0,2.4444444444444446
004,2019,-83.0,22.0,9.0,2.4444444444444446,NaN,NaN,NaN
005,1984,687.0,NaN,NaN,NaN,-100.0,35.0,-2.857142857142857
005,2019,587.0,-100.0,35.0,-2.857142857142857,NaN,NaN,NaN
006,1984,-87.0,NaN,NaN,NaN,184.0,10.0,18.4
006,1994,97.0,184.0,10.0,18.4,311.0,1.0,311.0
006,1995,408.0,311.0,1.0,311.0,-266.0,1.0,-266.0
006,1996,142.0,-266.0,1.0,-266.0,143.0,18.0,7.944444444444445
006,2014,285.0,143.0,18.0,7.944444444444445,-233.0,1.0,-233.0
006,2015,52.0,-233.0,1.0,-233.0,100.0,4.0,25.0
006,2019,152.0,100.0,4.0,25.0,NaN,NaN,NaN
007,1984,671.0,NaN,NaN,NaN,-155.0,20.0,-7.75
007,2004,516.0,-155.0,20.0,-7.75,-657.0,1.0,-657.0
007,2005,-141.0,-657.0,1.0,-657.0,461.0,2.0,230.5
007,2007,320.0,461.0,2.0,230.5,105.0,6.0,17.5
007,2013,425.0,105.0,6.0,17.5,-534.0,1.0,-534.0
007,2014,-109.0,-534.0,1.0,-534.0,38.0,5.0,7.6
007,2019,-71.0,38.0,5.0,7.6,NaN,NaN,NaN
008,1984,305.0,NaN,NaN,NaN,0.0,1.0,0.0
008,1985,305.0,0.0,1.0,0.0,295.0,1.0,295.0
008,1986,600.0,295.0,1.0,295.0,40.0,31.0,1.2903225806451613
008,2017,640.0,40.0,31.0,1.2903225806451613,-149.0,2.0,-74.5
008,2019,491.0,-149.0,2.0,-74.5,NaN,NaN,NaN
009,1984,481.0,NaN,NaN,NaN,201.0,6.0,33.5
009,1990,682.0,201.0,6.0,33.5,-469.0,1.0,-469.0
009,1991,213.0,-469.0,1.0,-469.0,246.0,1.0,246.0
009,1992,459.0,246.0,1.0,246.0,-234.0,10.0,-23.4
