# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
0,1984,498,NaN,NaN,NaN,22,10,2.2
0,1994,520,22,10,2.2,-137,1,-137
0,1995,383,-137,1,-137,212,1,212
0,1996,595,212,1,212,-96,18,-5.333333333333333
0,2014,499,-96,18,-5.333333333333333,-450,1,-450
0,2015,49,-450,1,-450,226,4,56.5
0,2019,275,226,4,56.5,NaN,NaN,NaN
1,1984,621,NaN,NaN,NaN,-40,31,-1.290322580645161
1,2015,581,-40,31,-1.290322580645161,-702,1,-702
1,2016,-121,-702,1,-702,339,2,169.5
1,2018,218,339,2,169.5,-74,1,-74
1,2019,144,-74,1,-74,NaN,NaN,NaN
2,1984,121,NaN,NaN,NaN,181,8,22.625
2,1992,302,181,8,22.625,-159,1,-159
2,1993,143,-159,1,-159,226,4,56.5
2,1997,369,226,4,56.5,-588,1,-588
2,1998,-219,-588,1,-588,426,2,213
2,2000,207,426,2,213,298,19,15.68421052631579
2,2019,505,298,19,15.68421052631579,NaN,NaN,NaN
3,1984,623,NaN,NaN,NaN,30,21,1.428571428571429
3,2005,653,30,21,1.428571428571429,-244,1,-244
3,2006,409,-244,1,-244,140,13,10.76923076923077
3,2019,549,140,13,10.76923076923077,NaN,NaN,NaN
4,1984,56,NaN,NaN,NaN,169,13,13
4,1997,225,169,13,13,-208,2,-104
4,1999,17,-208,2,-104,147,10,14.7
4,2009,164,147,10,14.7,-269,1,-269
4,2010,-105,-269,1,-269,22,9,2.444444444444445
4,2019,-83,22,9,2.444444444444445,NaN,NaN,NaN
5,1984,687,NaN,NaN,NaN,-100,35,-2.857142857142857
5,2019,587,-100,35,-2.857142857142857,NaN,NaN,NaN
6,1984,-87,NaN,NaN,NaN,184,10,18.4
6,1994,97,184,10,18.4,311,1,311
6,1995,408,311,1,311,-266,1,-266
6,1996,142,-266,1,-266,143,18,7.944444444444445
6,2014,285,143,18,7.944444444444445,-233,1,-233
6,2015,52,-233,1,-233,100,4,25
6,2019,152,100,4,25,NaN,NaN,NaN
7,1984,671,NaN,NaN,NaN,-155,20,-7.75
7,2004,516,-155,20,-7.75,-657,1,-657
7,2005,-141,-657,1,-657,461,2,230.5
7,2007,320,461,2,230.5,105,6,17.5
7,2013,425,105,6,17.5,-534,1,-534
7,2014,-109,-534,1,-534,38,5,7.6
7,2019,-71,38,5,7.6,NaN,NaN,NaN
8,1984,305,NaN,NaN,NaN,0,1,0
8,1985,305,0,1,0,295,1,295
8,1986,600,295,1,295,40,31,1.290322580645161
8,2017,640,40,31,1.290322580645161,-149,2,-74.5
8,2019,491,-149,2,-74.5,NaN,NaN,NaN
9,1984,481,NaN,NaN,NaN,201,6,33.5
9,1990,682,201,6,33.5,-469,1,-469
9,1991,213,-469,1,-469,246,1,246
9,1992,459,246,1,246,-234,10,-23.4
9,2002,225,-234,10,-23.4,228,17,13.411764705882353
9,2019,453,228,17,13.411764705882353,NaN,NaN,NaN
10,1984,689,NaN,NaN,NaN,-109,31,-3.516129032258065
10,2015,580,-109,31,-3.516129032258065,-908,1,-908
10,2016,-328,-908,1,-908,477,1,477
10,2017,149,477,1,477,111,2,55.5
10,2019,260,111,2,55.5,NaN,NaN,NaN
11,1984,551,NaN,NaN,NaN,-32,22,-1.454545454545455
11,2006,519,-32,22,-1.454545454545455,-678,1,-678
11,2007,-159,-678,1,-678,477,2,238.5
11,2009,318,477,2,238.5,152,10,15.2
11,2019,470,152,10,15.2,NaN,NaN,NaN
12,1984,539,NaN,NaN,NaN,-33,30,-1.1
12,2014,506,-33,30,-1.1,-701,1,-701
12,2015,-195,-701,1,-701,108,1,108
12,2016,-87,108,1,108,421,1,421
12,2017,334,421,1,421,0,2,0
12,2019,334,0,2,0,NaN,NaN,NaN
13,1984,553,NaN,NaN,NaN,88,13,6.769230769230769
13,1997,641,88,13,6.769230769230769,-313,2,-156.5
13,1999,328,-313,2,-156.5,187,1,187
13,2000,515,187,1,187,-59,4,-14.75
13,2004,456,-59,4,-14.75,167,1,167
13,2005,623,167,1,167,15,14,1.071428571428571
13,2019,638,15,14,1.071428571428571,NaN,NaN,NaN
14,1984,176,NaN,NaN,NaN,84,12,7
14,1996,260,84,12,7,-402,1,-402
14,1997,-142,-402,1,-402,-76,7,-10.857142857142858
