# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true, postMetrics=false, regrowthMetrics=true
id, year, value, magnitude, duration, rate, indexRegrowth, recoveryIndicator, y2r60, y2r80, y2r100
0,1995,383,-137,1,-137,169.33333333333337,-1.236009732360098,1,1,1
0,2014,499,-96,18,-5.333333333333333,-262,2.729166666666667,NaN,NaN,NaN
0,2015,49,-450,1,-450,226,-0.502222222222222,NaN,NaN,NaN
1,2015,581,-40,31,-1.290322580645161,-437,10.925,NaN,NaN,NaN
1,2016,-121,-702,1,-702,NaN,NaN,NaN,NaN,NaN
1,2019,144,-74,1,-74,NaN,NaN,NaN,NaN,NaN
2,1993,143,-159,1,-159,-77.33333333333333,0.486373165618449,1,2,3
2,1998,-219,-588,1,-588,402.66666666666663,-0.684807256235828,9,11,11
3,2006,409,-244,1,-244,91.33333333333331,-0.37431693989071,2,6,NaN
4,1999,17,-208,2,-104,84.66666666666667,-0.407051282051282,6,9,NaN
4,2010,-105,-269,1,-269,-4,0.014869888475836,NaN,NaN,NaN
5,2019,587,-100,35,-2.857142857142857,NaN,NaN,NaN,NaN,NaN
6,1996,142,-266,1,-266,-59.66666666666667,0.224310776942356,8,NaN,NaN
6,2015,52,-233,1,-233,100,-0.429184549356223,NaN,NaN,NaN
7,2004,516,-155,20,-7.75,-243.33333333333331,1.56989247311828,NaN,NaN,NaN
7,2005,-141,-657,1,-657,374.33333333333337,-0.569761542364282,2,8,NaN
7,2014,-109,-534,1,-534,38,-0.071161048689139,NaN,NaN,NaN
8,2019,491,-149,2,-74.5,NaN,NaN,NaN,NaN,NaN
9,1991,213,-469,1,-469,132,-0.281449893390192,1,NaN,NaN
9,2002,225,-234,10,-23.4,113,-0.482905982905983,2,7,7
10,2015,580,-109,31,-3.516129032258065,-320,2.935779816513762,NaN,NaN,NaN
10,2016,-328,-908,1,-908,NaN,NaN,NaN,NaN,NaN
11,2006,519,-32,22,-1.454545454545455,-132.33333333333331,4.135416666666666,5,NaN,NaN
11,2007,-159,-678,1,-678,581.3333333333333,-0.857423795476893,2,4,NaN
12,2014,506,-33,30,-1.1,-172,5.212121212121212,3,NaN,NaN
12,2015,-195,-701,1,-701,529,-0.754636233951498,2,NaN,NaN
13,1999,328,-313,2,-156.5,183.66666666666669,-0.586794462193823,1,1,8
13,2004,456,-59,4,-14.75,165.33333333333337,-2.802259887005651,1,1,1
14,1997,-142,-402,1,-402,-35.33333333333334,0.087893864013267,NaN,NaN,NaN
14,2004,-218,-76,7,-10.857142857142858,179.33333333333334,-2.359649122807018,2,2,1
14,2019,23,-27,9,-3,NaN,NaN,NaN,NaN,NaN
15,2005,-393,-653,1,-653,300,-0.459418070444104,9,NaN,NaN
15,2011,-110,-51,5,-10.2,243.66666666666666,-4.777777777777778,1,1,1
15,2019,114,-14,6,-2.333333333333333,NaN,NaN,NaN,NaN,NaN
16,1999,281,-340,1,-340,179,-0.526470588235294,1,7,14
17,1998,280,-207,1,-207,68.33333333333331,-0.330112721417069,1,10,19
18,2003,-180,-482,1,-482,-2,0.004149377593361,NaN,NaN,NaN
19,1998,495,-104,14,-7.428571428571429,-101.33333333333331,0.974358974358974,6,6,NaN
19,1999,-106,-601,1,-601,538.6666666666667,-0.896283971159179,1,5,10
20,1998,59,-657,1,-657,414,-0.63013698630137,1,10,NaN
21,1993,-206,-631,1,-631,121,-0.19175911251981,16,NaN,NaN
22,2019,420,-151,35,-4.314285714285714,NaN,NaN,NaN,NaN,NaN
23,2014,-43,-285,1,-285,0,-0,NaN,NaN,NaN
24,2019,662,-34,26,-1.307692307692308,NaN,NaN,NaN,NaN,NaN
25,2006,721,-39,22,-1.772727272727273,-33.66666666666663,0.863247863247862,2,2,6
25,2007,359,-362,1,-362,396.33333333333337,-1.094843462246777,1,1,5
25,2010,582,-70,2,-35,204,-2.914285714285714,1,1,1
26,1994,497,-57,10,-5.7,-354.33333333333337,6.216374269005849,NaN,NaN,NaN
26,1995,-164,-661,1,-661,382.33333333333337,-0.578416540595058,6,17,NaN
27,2017,-20,-245,1,-245,NaN,NaN,NaN,NaN,NaN
28,1993,471,-47,9,-5.222222222222222,-190,4.042553191489362,NaN,NaN,NaN
28,1994,-160,-631,1,-631,441,-0.698890649762282,14,14,15
31,2003,460,-224,1,-224,106,-0.473214285714286,1,1,NaN
32,2019,365,-71,35,-2.028571428571428,NaN,NaN,NaN,NaN,NaN
33,1986,518,-110,2,-55,129.33333333333337,-1.175757575757576,1,1,2
