id,year,value,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
0,1995,383,-137,1,-137,190.66666666666663,-1.391727493917275,1,1,1
0,2014,499,-96,18,-5.333333333333333,-224,2.333333333333333,NaN,NaN,NaN
0,2015,49,-450,1,-450,NaN,NaN,NaN,NaN,NaN
1,2015,581,-40,31,-1.290322580645161,NaN,NaN,NaN,NaN,NaN
1,2016,-121,-702,1,-702,NaN,NaN,NaN,NaN,NaN
1,2019,144,-74,1,-74,NaN,NaN,NaN,NaN,NaN
2,1993,143,-159,1,-159,-362,2.276729559748428,1,2,3
2,1998,-219,-588,1,-588,473.0526315789474,-0.804511278195489,3,8,13
3,2006,409,-244,1,-244,53.84615384615387,-0.220680958385877,1,11,NaN
4,1999,17,-208,2,-104,73.5,-0.353365384615385,9,NaN,NaN
4,2010,-105,-269,1,-269,12.222222222222229,-0.045435770342834,NaN,NaN,NaN
5,2019,587,-100,35,-2.857142857142857,NaN,NaN,NaN,NaN,NaN
6,1996,142,-266,1,-266,39.72222222222223,-0.149331662489557,13,NaN,NaN
6,2015,52,-233,1,-233,NaN,NaN,NaN,NaN,NaN
7,2004,516,-155,20,-7.75,-161,1.038709677419355,8,NaN,NaN
7,2005,-141,-657,1,-657,513.5,-0.78158295281583,2,8,NaN
7,2014,-109,-534,1,-534,38,-0.071161048689139,NaN,NaN,NaN
8,2019,491,-149,2,-74.5,NaN,NaN,NaN,NaN,NaN
9,1991,213,-469,1,-469,152.39999999999998,-0.324946695095949,1,NaN,NaN
9,2002,225,-234,10,-23.4,67.05882352941177,-0.28657616892911,4,11,NaN
10,2015,580,-109,31,-3.516129032258065,NaN,NaN,NaN,NaN,NaN
10,2016,-328,-908,1,-908,NaN,NaN,NaN,NaN,NaN
11,2006,519,-32,22,-1.454545454545455,-170.60000000000002,5.331250000000001,4,12,NaN
11,2007,-159,-678,1,-678,522.6,-0.770796460176991,2,9,NaN
12,2014,506,-33,30,-1.1,-172,5.212121212121212,3,NaN,NaN
12,2015,-195,-701,1,-701,NaN,NaN,2,NaN,NaN
13,1999,328,-313,2,-156.5,128,-0.408945686900958,1,1,NaN
13,2004,456,-59,4,-14.75,171.28571428571433,-2.90314769975787,1,1,1
14,1997,-142,-402,1,-402,-54.28571428571428,0.135039090262971,NaN,NaN,NaN
14,2004,-218,-76,7,-10.857142857142858,223.33333333333334,-2.93859649122807,1,1,1
14,2019,23,-27,9,-3,NaN,NaN,NaN,NaN,NaN
15,2005,-393,-653,1,-653,293.2,-0.449004594180704,NaN,NaN,NaN
15,2011,-110,-51,5,-10.2,231,-4.529411764705882,NaN,NaN,NaN
15,2019,114,-14,6,-2.333333333333333,NaN,NaN,NaN,NaN,NaN
16,1999,281,-340,1,-340,187.5,-0.551470588235294,3,6,15
17,1998,280,-207,1,-207,31.190476190476204,-0.150678628939499,2,18,NaN
18,2003,-180,-482,1,-482,29.615384615384613,-0.061442706670922,NaN,NaN,NaN
19,1998,495,-104,14,-7.428571428571429,-107.0526315789474,1.029352226720648,3,12,21
19,1999,-106,-601,1,-601,507.2631578947368,-0.844031876696734,1,5,13
20,1998,59,-657,1,-657,441.2,-0.671537290715373,1,21,NaN
21,1993,-206,-631,1,-631,79.54545454545455,-0.126062527013399,24,NaN,NaN
22,2019,420,-151,35,-4.314285714285714,NaN,NaN,NaN,NaN,NaN
23,2014,-43,-285,1,-285,0,-0,NaN,NaN,NaN
24,2019,662,-34,26,-1.307692307692308,NaN,NaN,NaN,NaN,NaN
25,2006,721,-39,22,-1.772727272727273,-37,0.948717948717949,2,2,6
25,2007,359,-362,1,-362,427,-1.179558011049724,1,1,5
25,2010,582,-70,2,-35,204,-2.914285714285714,1,1,1
26,1994,497,-57,10,-5.7,-341,5.982456140350878,18,18,NaN
26,1995,-164,-661,1,-661,400,-0.605143721633888,6,17,NaN
27,2017,-20,-245,1,-245,NaN,NaN,NaN,NaN,NaN
28,1993,471,-47,9,-5.222222222222222,-190,4.042553191489362,15,15,16
28,1994,-160,-631,1,-631,441,-0.698890649762282,14,14,15
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,2003,460,-224,1,-224,33.125,-0.147879464285714,1,14,NaN
32,2019,365,-71,35,-2.028571428571428,NaN,NaN,NaN,NaN,NaN
33,1986,518,-110,2,-55,104.39999999999998,-0.949090909090909,1,1,2
33,1998,523,-142,10,-14.2,-403,2.838028169014085,NaN,NaN,NaN
33,1999,-172,-695,1,-695,365,-0.525179856115108,14,NaN,NaN
34,1999,270,-330,2,-165,214,-0.648484848484848,2,3,9
34,2005,397,-174,2,-87,265.9,-1.52816091954023,1,1,3
34,2019,563,-111,10,-11.1,NaN,NaN,NaN,NaN,NaN
35,1985,-371,-686,1,-686,471.34482758620686,-0.687091585402634,16,24,32
35,2018,66,-255,1,-255,NaN,NaN,NaN,NaN,NaN
