id,year,index,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
0,1995,383,-137,1,-137,150,-1.094890510948905,1,1,1
0,2014,499,-96,18,-5.333333333333333,-224,2.333333333333333,NaN,NaN,NaN
0,2015,49,-450,1,-450,NaN,NaN,NaN,NaN,NaN
1,2015,581,-40,31,-1.290322580645161,NaN,NaN,NaN,NaN,NaN
1,2016,-121,-702,1,-702,NaN,NaN,NaN,NaN,NaN
1,2019,144,-74,1,-74,NaN,NaN,NaN,NaN,NaN
2,1993,143,-159,1,-159,-362,2.276729559748428,2,2,3
2,1998,-219,-588,1,-588,381,-0.647959183673469,2,9,11
3,2006,409,-244,1,-244,81,-0.331967213114754,6,NaN,NaN
4,1999,17,-208,2,-104,69,-0.331730769230769,6,9,NaN
4,2010,-105,-269,1,-269,-20,0.074349442379182,NaN,NaN,NaN
5,2019,587,-100,35,-2.857142857142857,NaN,NaN,NaN,NaN,NaN
6,1996,142,-266,1,-266,-129,0.484962406015038,13,NaN,NaN
6,2015,52,-233,1,-233,NaN,NaN,NaN,NaN,NaN
7,2004,516,-155,20,-7.75,-208,1.341935483870968,NaN,NaN,NaN
7,2005,-141,-657,1,-657,337,-0.512937595129376,2,8,NaN
7,2014,-109,-534,1,-534,38,-0.071161048689139,NaN,NaN,NaN
8,2019,491,-149,2,-74.5,NaN,NaN,NaN,NaN,NaN
9,1991,213,-469,1,-469,160,-0.341151385927505,27,NaN,NaN
9,2002,225,-234,10,-23.4,113,-0.482905982905983,7,7,7
10,2015,580,-109,31,-3.516129032258065,NaN,NaN,NaN,NaN,NaN
10,2016,-328,-908,1,-908,NaN,NaN,2,NaN,NaN
11,2006,519,-32,22,-1.454545454545455,-102,3.1875,NaN,NaN,NaN
11,2007,-159,-678,1,-678,584,-0.861356932153392,2,4,NaN
12,2014,506,-33,30,-1.1,-172,5.212121212121212,NaN,NaN,NaN
12,2015,-195,-701,1,-701,NaN,NaN,2,NaN,NaN
13,1999,328,-313,2,-156.5,128,-0.408945686900958,6,6,8
13,2004,456,-59,4,-14.75,193,-3.271186440677966,1,1,1
14,1997,-142,-402,1,-402,-11,0.027363184079602,NaN,NaN,NaN
14,2004,-218,-76,7,-10.857142857142858,153,-2.013157894736842,1,1,1
14,2019,23,-27,9,-3,NaN,NaN,NaN,NaN,NaN
15,2005,-393,-653,1,-653,283,-0.433384379785605,7,9,NaN
15,2011,-110,-51,5,-10.2,224,-4.392156862745098,1,1,1
15,2019,114,-14,6,-2.333333333333333,NaN,NaN,NaN,NaN,NaN
16,1999,281,-340,1,-340,179,-0.526470588235294,7,8,14
17,1998,280,-207,1,-207,50,-0.241545893719807,10,10,19
18,2003,-180,-482,1,-482,0,-0,NaN,NaN,NaN
19,1998,495,-104,14,-7.428571428571429,-150,1.442307692307692,12,12,12
19,1999,-106,-601,1,-601,594,-0.988352745424293,1,5,10
20,1998,59,-657,1,-657,410,-0.624048706240487,1,10,NaN
21,1993,-206,-631,1,-631,121,-0.19175911251981,12,NaN,NaN
22,2019,420,-151,35,-4.314285714285714,NaN,NaN,NaN,NaN,NaN
23,2014,-43,-285,1,-285,0,-0,NaN,NaN,NaN
24,2019,662,-34,26,-1.307692307692308,NaN,NaN,NaN,NaN,NaN
25,2006,721,-39,22,-1.772727272727273,-27,0.692307692307692,6,6,6
25,2007,359,-362,1,-362,427,-1.179558011049724,1,1,5
25,2010,582,-70,2,-35,204,-2.914285714285714,1,1,1
26,1994,497,-57,10,-5.7,-408,7.157894736842105,NaN,NaN,NaN
26,1995,-164,-661,1,-661,414,-0.626323751891074,5,17,NaN
27,2017,-20,-245,1,-245,NaN,NaN,NaN,NaN,NaN
28,1993,471,-47,9,-5.222222222222222,-190,4.042553191489362,16,16,16
28,1994,-160,-631,1,-631,441,-0.698890649762282,1,14,15
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,2003,460,-224,1,-224,106,-0.473214285714286,NaN,NaN,NaN
32,2019,365,-71,35,-2.028571428571428,NaN,NaN,NaN,NaN,NaN
33,1986,518,-110,2,-55,126,-1.145454545454546,2,2,2
33,1998,523,-142,10,-14.2,-372,2.619718309859155,NaN,NaN,NaN
33,1999,-172,-695,1,-695,341,-0.490647482014389,6,NaN,NaN
34,1999,270,-330,2,-165,185,-0.560606060606061,4,4,9
34,2005,397,-174,2,-87,206,-1.183908045977011,1,1,3
34,2019,563,-111,10,-11.1,NaN,NaN,NaN,NaN,NaN
35,1985,-371,-686,1,-686,419,-0.610787172011662,3,20,26
35,2018,66,-255,1,-255,NaN,NaN,NaN,NaN,NaN
36,2003,565,-13,19,-0.684210526315789,-177,13.615384615384615,NaN,NaN,NaN
36,2004,-61,-626,1,-626,452,-0.722044728434505,4,9,NaN
36,2015,85,-400,1,-400,NaN,NaN,2,2,NaN
37,1998,224,-439,1,-439,243,-0.553530751708428,3,6,19
38,2001,-275,-898,1,-898,794,-0.884187082405345,4,5,11
39,1999,-506,-1043,1,-1043,977,-0.936720997123682,2,3,8
40,1999,441,-151,7,-21.571428571428573,54,-0.357615894039735,2,2,9
40,2000,156,-285,1,-285,288,-1.010526315789474,1,1,1
40,2019,361,-208,18,-11.555555555555555,NaN,NaN,NaN,NaN,NaN
41,1994,14,-139,6,-23.166666666666668,128,-0.920863309352518,1,2,2
41,2016,-361,-786,1,-786,NaN,NaN,2,NaN,NaN
42,1989,-90,-9,5,-1.8,135,-15,1,1,1
42,2009,-65,-251,18,-13.944444444444445,71,-0.282868525896414,1,1,1
42,2019,80,-109,9,-12.11111111111111,NaN,NaN,NaN,NaN,NaN
43,1985,92,-106,1,-106,317,-2.990566037735849,2,4,4
43,1993,-401,-818,1,-818,407,-0.497555012224939,9,NaN,NaN
44,2002,-21,-336,3,-112,226,-0.672619047619048,1,8,8
44,2009,-1,-238,6,-39.666666666666664,335,-1.407563025210084,1,1,1
44,2019,238,-138,9,-15.333333333333334,NaN,NaN,NaN,NaN,NaN
45,2015,561,-26,31,-0.838709677419355,NaN,NaN,NaN,NaN,NaN
45,2016,-57,-618,1,-618,NaN,NaN,NaN,NaN,NaN
45,2019,161,-37,2,-18.5,NaN,NaN,NaN,NaN,NaN
46,2000,656,-12,16,-0.75,-116,9.666666666666666,NaN,NaN,NaN
46,2002,470,-186,2,-93,44,-0.236559139784946,11,11,NaN
47,1992,604,-33,8,-4.125,-165,5,12,14,14
47,1993,196,-408,1,-408,234,-0.573529411764706,7,7,11
48,2019,660,-6,35,-0.171428571428571,NaN,NaN,NaN,NaN,NaN
49,1994,321,-204,2,-102,-30,0.147058823529412,NaN,NaN,NaN
49,2006,310,-11,12,-0.916666666666667,-327,29.727272727272727,NaN,NaN,NaN
49,2007,-312,-622,1,-622,295,-0.47427652733119,8,11,NaN
50,2003,447,-88,8,-11,28,-0.318181818181818,2,2,2
50,2004,211,-236,1,-236,264,-1.11864406779661,1,1,1
50,2017,513,-58,12,-4.833333333333333,NaN,NaN,1,1,1
51,1992,469,-98,8,-12.25,137,-1.397959183673469,2,2,2
51,1993,298,-171,1,-171,308,-1.801169590643275,1,1,1
52,2007,-71,-363,2,-181.5,150,-0.413223140495868,NaN,NaN,NaN
52,2019,-77,-6,12,-0.5,NaN,NaN,NaN,NaN,NaN
53,1988,521,-167,1,-167,-101,0.604790419161677,25,NaN,NaN
53,2015,433,-171,1,-171,NaN,NaN,2,2,2
54,2019,611,-101,35,-2.885714285714286,NaN,NaN,NaN,NaN,NaN
55,2007,-211,-281,1,-281,151,-0.537366548042705,8,8,NaN
56,1997,-25,-590,1,-590,34,-0.057627118644068,11,NaN,NaN
56,2019,277,-73,11,-6.636363636363637,NaN,NaN,NaN,NaN,NaN
57,2009,486,-181,12,-15.083333333333334,165,-0.911602209944751,2,2,NaN
57,2019,610,-41,8,-5.125,NaN,NaN,NaN,NaN,NaN
58,2019,80,-44,24,-1.833333333333333,NaN,NaN,NaN,NaN,NaN
59,2005,476,-74,21,-3.523809523809524,-183,2.472972972972973,NaN,NaN,NaN
59,2006,-120,-596,1,-596,413,-0.692953020134228,3,NaN,NaN
60,2019,-78,-157,28,-5.607142857142857,NaN,NaN,NaN,NaN,NaN
61,2014,460,-277,1,-277,0,-0,NaN,NaN,NaN
62,2008,-156,-231,1,-231,99,-0.428571428571429,8,NaN,NaN
63,1999,-184,-308,1,-308,0,-0,NaN,NaN,NaN
64,2015,705,-71,31,-2.290322580645161,NaN,NaN,NaN,NaN,NaN
64,2016,-74,-779,1,-779,NaN,NaN,NaN,NaN,NaN
65,2019,413,-90,35,-2.571428571428572,NaN,NaN,NaN,NaN,NaN
66,2016,-59,-772,1,-772,NaN,NaN,NaN,NaN,NaN
66,2019,234,-107,1,-107,NaN,NaN,NaN,NaN,NaN
67,2016,-59,-652,1,-652,NaN,NaN,2,NaN,NaN
67,2019,366,-13,1,-13,NaN,NaN,NaN,NaN,NaN
68,2002,-60,-504,1,-504,308,-0.611111111111111,2,2,8
68,2009,114,-270,5,-54,342,-1.266666666666667,1,1,1
68,2019,264,-265,9,-29.444444444444443,NaN,NaN,NaN,NaN,NaN
69,1998,204,-11,14,-0.785714285714286,-358,32.54545454545455,NaN,NaN,NaN
69,1999,-162,-366,1,-366,17.5,-0.047814207650273,NaN,NaN,NaN
70,1999,70,-199,4,-49.75,26,-0.130653266331658,1,NaN,NaN
70,2006,-338,-560,1,-560,142,-0.253571428571429,NaN,NaN,NaN
70,2019,-146,-104,12,-8.666666666666666,NaN,NaN,NaN,NaN,NaN
71,2004,380,-187,2,-93.5,209,-1.117647058823529,4,5,5
71,2013,67,-486,1,-486,102,-0.209876543209877,NaN,NaN,NaN
72,2003,634,-92,19,-4.842105263157895,-177,1.923913043478261,8,8,14
72,2004,332,-302,1,-302,125,-0.413907284768212,1,6,7
72,2009,457,-88,4,-22,239,-2.715909090909091,1,1,1
73,2014,322,-244,24,-10.166666666666666,-348,1.426229508196721,NaN,NaN,NaN
73,2015,-165,-487,1,-487,NaN,NaN,NaN,NaN,NaN
74,1993,602,-57,9,-6.333333333333333,-28,0.491228070175439,9,9,9
74,1994,65,-537,1,-537,509,-0.947858472998138,2,3,8
74,2006,196,-415,1,-415,404,-0.973493975903614,2,2,6
75,2015,690,-48,31,-1.548387096774194,NaN,NaN,NaN,NaN,NaN
75,2016,355,-335,1,-335,NaN,NaN,NaN,NaN,NaN
76,1991,-48,-489,1,-489,508,-1.038854805725971,2,2,5
77,1997,583,-2,13,-0.153846153846154,-192,96,2,2,2
77,1998,400,-183,1,-183,-9,0.049180327868852,1,1,1
77,2001,391,-250,2,-125,122,-0.488,6,6,9
78,1990,-215,-862,1,-862,525,-0.609048723897912,1,2,NaN
78,2003,255,-82,12,-6.833333333333333,211,-2.573170731707317,1,1,1
79,1990,265,-72,6,-12,-354,4.916666666666667,NaN,NaN,NaN
79,1991,-151,-416,1,-416,62,-0.149038461538462,17,26,NaN
80,1990,-150,-115,6,-19.166666666666668,300,-2.608695652173913,1,1,1
80,2001,-150,-456,2,-228,168,-0.368421052631579,1,1,NaN
80,2019,150,-101,17,-5.941176470588236,NaN,NaN,NaN,NaN,NaN
81,1991,33,-560,1,-560,-32,0.057142857142857,NaN,NaN,NaN
81,2001,-206,-239,10,-23.9,29,-0.121338912133891,6,NaN,NaN
82,1993,249,-379,9,-42.111111111111114,170,-0.448548812664908,1,1,4
82,1998,419,-233,1,-233,109,-0.467811158798283,1,1,NaN
83,2003,-51,-638,1,-638,412,-0.64576802507837,5,NaN,NaN
84,1998,24,-610,1,-610,216,-0.354098360655738,12,19,NaN
84,2005,240,-12,6,-2,253,-21.083333333333332,1,1,1
85,1999,488,-158,1,-158,123,-0.778481012658228,1,7,7
85,2001,314,-288,1,-288,333,-1.15625,3,3,3
85,2019,715,-31,12,-2.583333333333333,NaN,NaN,NaN,NaN,NaN
86,2006,370,-195,1,-195,-254,1.302564102564103,NaN,NaN,NaN
86,2008,116,-322,1,-322,62,-0.192546583850932,NaN,NaN,NaN
87,2004,459,-270,2,-135,164,-0.607407407407407,5,NaN,NaN
87,2010,-74,-697,1,-697,0,-0,NaN,NaN,NaN
88,1990,498,-1,6,-0.166666666666667,-48,48,7,7,7
